code,display,system
STD,Standaard,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
L,Groot,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
S,Klein,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
XL,Extra groot,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
KIND,Kind,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
JONGKIND,Jong kind,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
NEONAAT,Neonaat,urn:oid:2.16.840.1.113883.2.4.3.11.60.40.4.15.1
